fantasy_team,keepers_max,WAR_max,salary_max,keepers_adj,WAR_adj,salary_adj
1,17,47.475,74591572,16,47.275,72691572
2,22,51.1625,74915600,16,45.7125,71283900
3,23,51.275,72810600,16,45.875,60469500.00000001
4,18,38.95,73609366,16,36.9375,66709366
5,15,39.075,72414367,13,37.375,63039367.00000001
6,18,30.075,74890601,10,26.475,52194935
7,20,49.9,74979214,15,46.1,68209714
8,20,63.8375,74018466,16,59.2,69887966
9,18,43.275,74552592,15,40.25,61516092
10,16,36.925,73793005,11,33.7625,59620905.00000001
11,15,27.2,74652642,11,25.4125,61614300
12,12,47.4,73572275,12,47.4,73572275
