fantasy_team,keepers,WAR,salary,picks,fantasy_team1,keepers_r2,WAR_r2,salary_r2,picks_r2,diff_r2
1,18,43.5,744.59905,12,1,15,42,605.24905,15,3
2,22,46.7,749.156,8,2,10,33.9,523.859,20,12
3,22,49.2,749.017,8,3,15,42.9,629.69,15,7
4,18,36.5,736.09366,12,4,14,32,656.06766,16,4
5,16,38.1,699.71787,14,5,13,36.3,584.01867,17,3
6,17,29.2,748.01935,13,6,8,23.3,560.65535,22,9
7,22,45.5,743.82747,8,7,14,40.7,691.88047,16,8
8,20,59,740.18466,10,8,13,51.4,668.14066,17,7
9,19,44.8,748.37592,11,9,14,39.1,636.54092,16,5
10,14,35.3,746.31857,16,10,10,33.3,659.59757,20,4
11,15,25.1,746.52642,15,11,10,22.4,652.71442,20,5
12,12,43.4,735.72275,18,12,12,43.4,735.72275,18,0
