Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Craig Kimbrel,Red Sox,4,2,2.6,0,65,33,65,42,19,6,101,24,1.02,13.96,3.32,2.45,1.5,1.7,45.3,6655
Kenley Jansen,Dodgers,4,2,2.75,0,65,38,65,46,20,7,91,15,0.95,12.59,2.1,2.6,1.4,1.3,39.2,3096
Andrew Miller,Indians,4,2,2.7,0,65,13,65,47,19,6,91,21,1.04,12.66,2.88,2.66,1.4,1.5,199.9,6785
Clayton Kershaw,Dodgers,16,8,2.76,32,32,0,209,174,64,21,240,39,1.02,10.34,1.68,2.81,6.3,6.2,6,2036
Noah Syndergaard,Mets,13,9,3.13,31,31,0,182,153,63,18,220,46,1.09,10.84,2.27,2.88,5.4,4.3,34.8,11762
Dellin Betances,Yankees,3,2,2.93,0,55,2,55,37,18,5,82,26,1.15,13.37,4.3,2.93,1.1,1,276.3,6216
Aroldis Chapman,Yankees,4,2,2.83,0,65,29,65,45,20,7,95,27,1.11,13.19,3.78,2.93,1.3,1.4,61.5,10233
Felipe Rivero,Pirates,4,3,2.91,0,65,31,65,52,21,5,80,23,1.16,11.12,3.23,2.98,1.1,1.2,95.2,12076
Chris Sale,Red Sox,15,7,3.18,29,29,0,192,156,68,23,242,42,1.03,11.34,1.98,3.03,5.4,5.6,12.4,10603
Ken Giles,Astros,4,3,3.2,0,65,33,65,50,23,7,86,24,1.15,11.97,3.36,3.1,1.1,1,93.3,12910
Corey Knebel,Brewers,3,3,3.21,0,65,30,65,48,23,7,93,29,1.19,12.93,4.08,3.11,1.1,1.1,61.4,15010
Trevor Rosenthal,Cardinals,0,0,3.1,0,1,0,1,1,0,0,1,0,1.22,11.76,4.08,3.16,0,0.1,615.1,10745
Corey Kluber,Indians,14,8,3.27,29,29,0,194,166,71,23,224,45,1.09,10.41,2.08,3.18,5.2,5.3,12.9,2429
Ryan Madson,Nationals,4,3,3.26,0,65,14,65,58,24,6,70,19,1.18,9.65,2.57,3.21,1,0.9,446.7,1852
Edwin Diaz,Mariners,4,3,3.19,0,65,32,65,50,23,7,84,24,1.13,11.61,3.29,3.22,1,1,90.6,14710
Chad Green,Yankees,3,2,3.22,0,45,0,45,36,16,6,56,13,1.1,11.28,2.65,3.23,0.8,0.8,267.4,15552
A.J. Minter,Braves,1,0,3.17,0,10,0,10,8,4,1,13,4,1.21,11.87,3.93,3.25,0.1,0.1,459.3,18655
Zach Britton,Orioles,2,2,3.07,0,40,11,40,37,14,3,40,15,1.3,9.03,3.48,3.27,0.7,0.7,220.3,3240
Walker Buehler,Dodgers,5,3,3.18,8,33,0,71,57,25,7,88,29,1.21,11.08,3.73,3.28,1.4,1.3,368.6,19374
Max Scherzer,Nationals,15,9,3.39,32,32,0,207,170,78,27,257,56,1.09,11.15,2.41,3.3,5,5,10.3,3137
Justin Wilson,Cubs,3,2,3.16,0,55,2,55,42,19,5,70,24,1.22,11.4,4.01,3.33,0.8,0.9,574.1,4301
Stephen Strasburg,Nationals,14,8,3.44,31,31,0,188,165,72,22,216,52,1.15,10.3,2.46,3.33,4.5,4.3,23.2,10131
Brad Hand,Padres,3,3,3.35,0,65,29,65,55,24,7,76,23,1.2,10.58,3.13,3.36,0.8,0.8,117.4,9111
Michael Feliz,Pirates,3,3,3.42,0,55,0,55,46,21,6,65,21,1.22,10.7,3.37,3.38,0.7,0.6,672.7,11903
Anthony Swarzak,Mets,3,3,3.38,0,65,2,65,57,24,7,72,19,1.18,9.9,2.68,3.39,0.9,0.7,445.6,7466
Mark Melancon,Giants,3,3,3.33,0,65,22,65,62,24,5,58,18,1.23,8.01,2.48,3.39,0.7,0.7,170.3,4264
Sean Doolittle,Nationals,4,3,3.36,0,65,22,65,53,24,8,78,19,1.11,10.83,2.6,3.4,0.8,0.9,125.5,1581
Jacob deGrom,Mets,13,10,3.47,32,32,0,203,180,78,24,226,57,1.16,10,2.51,3.4,4.7,4,33.8,10954
Archie Bradley,Diamondbacks,3,3,3.48,0,65,11,65,57,25,7,74,24,1.24,10.18,3.3,3.42,0.9,0.9,183.6,12918
Scott Alexander,Dodgers,4,3,3.13,0,65,0,65,60,23,4,61,25,1.31,8.39,3.45,3.43,0.8,0.9,612.2,10591
Carlos Carrasco,Indians,13,8,3.48,29,29,0,178,161,69,21,191,45,1.15,9.63,2.27,3.45,4.2,4.3,34.9,6632
Pedro Strop,Cubs,3,2,3.31,0,45,0,45,37,17,4,52,19,1.25,10.35,3.78,3.47,0.6,0.6,599.6,4070
Roberto Osuna,Blue Jays,4,3,3.56,0,65,32,65,55,26,8,76,18,1.13,10.46,2.52,3.48,0.9,0.8,80,13764
Raisel Iglesias,Reds,3,3,3.49,0,65,32,65,55,25,8,78,22,1.18,10.79,3.04,3.48,0.9,0.8,99.1,17130
Chris Archer,Rays,13,10,3.47,32,32,0,196,168,76,24,222,61,1.17,10.17,2.81,3.48,4.3,4.4,51.5,6345
Drew Steckenrider,Marlins,3,3,3.42,0,55,0,55,46,21,5,64,25,1.28,10.5,4.05,3.49,0.6,0.6,364.5,18806
James Hoyt,Astros,2,1,3.58,0,30,0,30,26,12,3,36,11,1.22,10.8,3.31,3.49,0.4,0.3,722.3,14605
Luke Gregerson,Cardinals,3,3,3.54,0,65,19,65,60,26,6,65,21,1.24,8.93,2.88,3.5,0.8,0.6,447.2,4090
Blake Parker,Angels,4,3,3.4,0,65,11,65,54,25,8,74,22,1.17,10.19,3.05,3.54,0.7,0.8,205.5,5224
James Paxton,Mariners,12,9,3.53,29,29,0,176,161,69,20,178,51,1.21,9.13,2.64,3.54,3.8,3.7,78.3,11828
Shohei Ohtani,Angels,11,7,3.49,24,24,0,148,119,57,18,183,59,1.2,11.09,3.57,3.56,3.1,3.3,74.3,19755
Danny Salazar,Indians,8,6,3.51,16,46,0,120,99,47,15,148,45,1.2,11.04,3.36,3.56,2.3,2.5,176.6,5867
Brett Cecil,Cardinals,3,3,3.5,0,65,15,65,59,25,7,66,21,1.23,9.16,2.89,3.56,0.7,0.6,693.3,2660
Jose Quintana,Cubs,14,9,3.46,32,32,0,196,178,75,23,199,55,1.19,9.13,2.51,3.57,4.3,4.3,77.4,11423
Carl Edwards Jr.,Cubs,3,2,3.37,0,55,0,55,41,21,5,73,31,1.3,11.9,5.01,3.57,0.6,0.7,335,13607
Nate Jones,White Sox,3,3,3.52,0,55,0,55,47,22,7,64,20,1.22,10.55,3.3,3.58,0.7,0.7,421,4696
Will Smith,Giants,2,1,3.42,0,30,0,30,25,11,3,34,13,1.27,10.31,3.89,3.58,0.3,0.4,999,8048
Josh Ravin,Braves,2,1,3.53,0,30,0,30,24,12,3,38,15,1.28,11.49,4.39,3.58,0.3,0.3,999,2951
Kirby Yates,Padres,3,3,3.59,0,55,2,55,44,22,7,69,22,1.2,11.37,3.53,3.58,0.6,0.4,454.5,9073
Andrew Chafin,Diamondbacks,3,2,3.5,0,55,0,55,49,21,5,59,23,1.32,9.68,3.81,3.59,0.6,0.7,999,12988
Joe Kelly,Red Sox,3,2,3.6,0,55,0,55,49,22,6,59,21,1.28,9.65,3.4,3.59,0.6,0.7,667.4,9761
Luis Severino,Yankees,14,8,3.55,31,31,0,188,164,74,24,212,58,1.18,10.14,2.75,3.6,4.4,4.3,31.9,15890
Wilmer Font,Dodgers,2,1,3.56,3,13,0,28,24,11,4,33,8,1.13,10.55,2.66,3.6,0.5,0.4,685.3,5257
Tommy Kahnle,Yankees,3,2,3.53,0,55,2,55,44,22,6,69,24,1.25,11.29,3.99,3.61,0.7,0.7,447,11384
Tommy Hunter,Phillies,3,2,3.6,0,55,2,55,50,22,7,58,16,1.21,9.43,2.68,3.61,0.7,0.6,597.6,1157
Robbie Ray,Diamondbacks,12,9,3.63,29,29,0,168,139,68,21,208,69,1.24,11.16,3.7,3.62,3.6,3.8,43.7,11486
